id,تاریخ,کد ملک,نوع ملک,نام مالک,تلفن ,آدرس,تعداد طبقات,تعداد واحد در طبقه,قیمت کل,قیمت واحد,آنالیز قیمت,طبقه,زیربنا,خواب,تلفن,آشپزخانه,سرویس,کفپوش,OPEN,پارکینگ,انباری,بالکن,تجهیزات و امکانات,سن بنا,وضعیت ملک,نما,وضعیت سند,موقعیت مکانی
0,1404/07/12,10574688,آپارتمان,مخفی,,تهرانپارس خ 110,4,2,"6,970,000,000 تومان","85,000,000 تومان",20,3,82,2,1,MDF,ايراني فرنگي,سنگ,دارد,ندارد,دارد,دارد,شوفاژ کولر گاز ,20,مسکونی,سنگ,شخصي,جنوبی
1,1404/07/13,10051662,آپارتمان,سلطان پور,,بهارستان خ صفی علی شاه كوچه صفی بن بست علیشاه پلاك5,4,1,"4,500,000,000 تومان","57,692,000 تومان",,همكف,78,2,1,MDF,ايرانی,سراميک,دارد,ندارد,ندارد,دارد,کولر گاز ,22,مسکونی,سنگ,شخصي,شمالی
2,1404/07/13,10566251,آپارتمان,مخفی,,جشنواره خ زهدی,5,3,"3,500,000,000 تومان","66,037,000 تومان",12,3,53,1,,MDF,ايرانی,سراميک,دارد,ندارد,دارد,دارد,کولر آسانسور پکیج ,12,مسکونی,سنگ,شخصي,جنوبی
3,1404/07/14,10488297,آپارتمان,مخفی,,صادقیه خ 15,5,1,"22,500,000,000 تومان","155,172,000 تومان",1,5,145,3,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,کولر آسانسور پکیج گاز ,1,تخلیه,سنگ,شخصي,جنوبی
4,1404/07/14,10428640,آپارتمان,مخفی,,وحیدیه خ بخت آزاد,5,1,"9,600,000,000 تومان","98,969,000 تومان",نوساز,3,97,2,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,ندارد,دارد,شوفاژ کولر آسانسور گاز ,نوساز,مسکونی,سنگ,مسکوني,شمالی
5,1404/07/12,10491602,آپارتمان,مخفی,,نیرو هوایی نرسیده به خ شورا,4,1,"4,700,000,000 تومان","100,000,000 تومان",23,1,47,1,1,MDF,ايرانی,سراميک,دارد,دارد,ندارد,ندارد,کولر آسانسور گاز ,23,مسکونی,سنگ,شخصي,شمالی
6,1404/07/12,10519669,آپارتمان,مخفی,,سهروردی شمالی نرسیده به ك نقدی,5,2,"9,900,000,000 تومان","147,760,000 تومان",17,1,67,2,1,MDF,فرنگی,سراميک,دارد,دارد,ندارد,دارد,شوفاژ کولر آسانسور گاز ,17,اجاره,سنگ,مسکوني,جنوبی
7,1404/07/12,10569965,آپارتمان,مخفی,,شهران شمالی نرسیده به خ یكم,5,2,"13,500,000,000 تومان","133,660,000 تومان",8,3,101,3,1,MDF,ايراني فرنگي,سنگ,ندارد,دارد,دارد,دارد,کولر آسانسور گاز ,8,اجاره,سنگ,شخصي,شمالی
8,1404/07/14,10736119,آپارتمان,غیور,,استاد معین خ لعل آخر ك فتاحی,5,1,"13,500,000,000 تومان","121,621,000 تومان",,4,111,2,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,ندارد,ندارد,کولر آسانسور گاز ,15,تخلیه,سنگ,شخصي,جنوبی
9,1404/07/13,10242095,آپارتمان,مخفی,,زعفرانیه آصف,5,2,"38,000,000,000 تومان","248,366,000 تومان",11,3,153,3,1,MDF,ايراني فرنگي,سنگ,دارد,دارد,دارد,دارد,شوفاژ کولر آسانسور ,11,اجاره,سنگ,شخصي,جنوبی
